category,text
Hope-Speech,Waiting for part 2
None-of-the-above,Make an initiative to ban caste and religion that's more worth than this shit.... Why can't u make a video and spread awareness to remove caste and religion that's more useful than this messed up message... Dei USA la Elarum regular health screening and very aware about STD diseases but in India it cannot be
None-of-the-above,azaright oh then explain what r the animals that having homosexual???
None-of-the-above,Muthamizh selvan Purushothaman  pon namer sent
None-of-the-above,Superb concept and very nice script
None-of-the-above,Lesbian sex is important in our society
None-of-the-above,Long days I have this doubt
None-of-the-above,"Hey vignesh,;  I think you did the write thing abt having a debate on that topic. Hope u have more debates like this."
None-of-the-above,Hello pon raj this s its chromosome changes they are so talented and so affection to each other it's not bad judgement ok...
None-of-the-above,Congratulations for your good effort guys 🙏
None-of-the-above,Aravinthakrishnan well said
Counter-speech,Correct she is good heart lady not only she all transgender is really good heart person public should understand them
Counter-speech,When a featus is forming in the womb for the 1st 6 weeks its brain structure developed as a girl's brain onlu after 6th week if the featus is a male testosterone and other male sex organs will develop if any defects occur at this stage the boy will have a male body and female brain and automatically he gets attraction with the same gender they cant do anything with this like wise happens in girls to whether you accept homosex or not its ur personal choise but DON'T HURT ANYONES FEELINGS 😊😊✌
None-of-the-above,Ithu ovvoruvarinathum thanippadda viruppam..
Homophobic,next 10- years'la total world people's Hiv patients .100% conform. (no children).
None-of-the-above,She is so cute
Hope-Speech,"Hamelton Melvin  super.if you need any help to your service contact me.iif I can do it ,I will help to you."
Homophobic,"sagothari malini this is very bad.unnatural.shame for humenbeing. it' up to you. your life you may do what you want,it's your personel but don't explain like this. pls try to Give better advice for our tamil society not poison. be tamil a tamil cultured women. i  am sorry people like you sister.nonsence!"
Hope-Speech,I've watched more than 50 LGBTQ movies including English and Hindi... This one is the best and the most Relatable ever
None-of-the-above,❤️🌈from delhi...; Happy to see Chennai is very modern
None-of-the-above,I've seen about humanity here
None-of-the-above,We are waiting for part 2
None-of-the-above,Awesome story 😍
None-of-the-above,atleast LGBT already exist in indian culture and mention in purana but child abuse? had in indian culture
None-of-the-above,Not 20 years bro
None-of-the-above,Many may know such   areas and such problems like this bt they  wont  care   bt  for my  opinion  i  have given  a point thats all
None-of-the-above,what is Your age
None-of-the-above,Actually its according to their wise! But generally its right one!
